time,battery
1721885624.397,54,
1721885625.386,54,
1721885626.893,54,
1721885627.888,54,
1721885628.38,54,
1721885629.871,54,
1721885630.865,54,
1721885631.372,54,
1721885632.865,54,
1721885633.87,54,
1721885634.879,54,
1721885635.364,54,
1721885636.355,54,
1721885637.868,54,
1721885638.361,54,
1721885639.84,54,
1721885640.358,54,
1721885642.868,54,
1721885643.363,54,
1721885644.373,54,
1721885645.86,54,
1721885646.367,54,
1721885648.867,54,
1721885649.379,54,
1721885650.383,54,
1721885652.393,54,
1721885654.39,54,
1721885655.402,54,
1721885656.399,54,
1721885657.407,54,
1721885658.411,54,
1721885659.899,54,
1721885660.881,54,
1721885661.378,54,
1721885662.854,54,
1721885663.851,54,
1721885664.358,54,
1721885666.363,54,
1721885667.842,54,
1721885668.35,54,
1721885669.364,54,
1721885670.372,54,
1721885671.881,54,
1721885672.379,54,
1721885673.371,54,
1721885674.35,54,
1721885675.847,54,
1721885676.865,54,
1721885677.355,54,
1721885678.841,54,
1721885681.344,54,
1721885682.327,54,
1721885683.329,54,
1721885684.343,54,
1721885685.34,54,
1721885686.347,54,
1721885687.347,54,
1721885688.349,54,
1721885689.857,54,
1721885690.366,54,
1721885691.375,54,
1721885692.372,54,
1721885693.366,54,
1721885694.361,54,
1721885695.34,54,
1721885696.852,54,
1721885698.333,54,
1721885699.347,54,
1721885700.327,54,
1721885701.811,54,
1721885704.285,54,
1721885706.256,54,
1721885707.255,54,
1721885708.251,54,
1721885709.222,54,
1721885710.249,54,
1721885711.247,54,
1721885712.728,54,
1721885713.228,54,
1721885714.205,54,
1721885715.204,54,
1721885716.692,54,
1721885717.681,54,
1721885718.185,54,
1721885719.184,54,
1721885720.187,54,
1721885721.175,54,
1721885722.153,54,
1721885723.15,54,
1721885724.138,54,
1721885726.129,54,
1721885730.061,54,
1721885731.078,54,
1721885732.083,54,
1721885733.083,54,
1721885734.546,54,
1721885735.044,54,
1721885736.059,54,
1721885737.059,54,
1721885738.052,54,
1721885739.526,54,
1721885740.029,54,
1721885741.023,54,
1721885743.018,54,
1721885744.012,54,
1721885745.003,54,
1721885746.513,54,
1721885747.022,54,
1721885748.026,54,
1721885749.037,54,
1721885750.048,54,
1721885751.071,54,
1721885754.084,54,
1721885755.08,54,
1721885756.078,54,
1721885757.055,54,
1721885758.061,54,
1721885759.039,54,
1721885760.04,54,
1721885761.041,54,
1721885762.055,54,
1721885764.536,54,
1721885765.022,54,
1721885766.046,54,
1721885767.045,54,
1721885768.532,54,
1721885770.022,54,
1721885771.497,54,
1721885771.997,54,
1721885772.999,54,
1721885774.485,54,
1721885775.482,54,
1721885780.452,54,
1721885780.95,54,
1721885781.907,54,
1721885783.416,54,
1721885783.92,54,
1721885785.42,54,
1721885786.414,54,
1721885787.4,54,
1721885787.889,54,
1721885788.887,54,
1721885789.883,54,
1721885790.865,54,
1721885791.867,54,
1721885792.863,54,
1721885794.346,54,
1721885794.847,54,
1721885795.846,54,
1721885796.86,54,
1721885797.841,54,
1721885798.838,54,
1721885800.328,54,
1721885801.802,54,
1721885802.816,54,
1721885804.312,54,
1721885804.822,54,
1721885807.346,54,
1721885807.845,54,
1721885808.838,54,
1721885809.841,54,
1721885810.838,54,
1721885811.841,54,
1721885813.85,54,
1721885814.849,54,
1721885816.318,54,
1721885817.336,54,
1721885817.839,54,
1721885818.817,54,
1721885820.305,54,
1721885820.809,54,
1721885821.788,54,
1721885822.79,54,
1721885823.772,54,
1721885824.772,54,
1721885825.762,53,
1721885827.257,53,
1721885827.757,53,
1721885828.765,53,
1721885830.258,53,
1721885831.239,53,
1721885832.247,53,
1721885833.248,53,
1721885833.751,53,
1721885835.726,53,
1721885837.706,53,
1721885836.715,53,
1721885838.684,53,
1721885840.194,53,
1721885840.683,53,
1721885841.658,53,
1721885842.63,53,
1721885843.636,53,
1721885846.13,53,
1721885846.616,53,
1721885847.609,53,
1721885848.616,53,
1721885850.123,53,
1721885850.627,53,
1721885851.638,53,
1721885852.646,53,
1721885854.638,53,
1721885855.641,53,
1721885856.619,53,
1721885857.61,53,
1721885858.6,53,
1721885859.613,53,
1721885862.07,53,
1721885862.581,53,
1721885863.585,53,
1721885865.1,53,
1721885866.097,53,
1721885867.086,53,
1721885868.087,53,
1721885868.563,53,
1721885869.56,53,
1721885870.567,53,
1721885871.562,53,
1721885874.055,53,
1721885874.562,53,
1721885875.555,53,
1721885877.57,53,
1721885879.07,53,
1721885880.052,53,
1721885881.053,53,
1721885881.562,53,
1721885883.579,53,
1721885884.545,53,
1721885886.534,53,
1721885887.529,53,
