time,heart_rate
1721886007.162,89,
1721886007.166,89,
1721886008.153,89,
1721886010.163,90,
1721886010.145,90,
1721886011.137,89,
1721886012.117,89,
1721886014.1,89,
1721886015.099,89,
1721886016.077,87,
1721886017.564,86,
1721886019.054,86,
1721886020.058,88,
1721886021.059,89,
1721886022.052,89,
1721886023.564,90,
1721886024.066,90,
1721886025.059,89,
1721886027.059,90,
1721886028.546,90,
1721886029.569,89,
1721886030.061,89,
1721886031.083,86,
1721886032.087,85,
1721886033.093,83,
1721886034.112,84,
1721886035.091,83,
1721886036.1,84,
1721886037.605,85,
1721886038.09,87,
1721886039.095,88,
1721886040.102,87,
1721886041.093,88,
1721886042.08,86,
1721886043.1,85,
