time,tech_perfusion
1721885445.838,0.43,
1721885447.846,0.43,
1721885448.877,0.76,
1721885450.385,0.36,
1721885450.882,0.41,
1721885453.387,0.45,
1721885453.88,0.45,
1721885454.868,0.48,
1721885455.879,0.06,
1721885457.386,0.35,
1721885457.886,0.4,
1721885459.882,0.49,
1721885460.849,0.39,
1721885462.33,0.41,
1721885463.311,0.44,
1721885463.816,0.51,
1721885465.313,0.51,
1721885465.808,0.5,
1721885466.798,0.44,
1721885468.295,0.48,
1721885469.801,0.43,
1721885471.286,0.57,
1721885471.788,0.57,
1721885472.798,0.47,
1721885473.824,0.47,
1721885474.828,0.43,
1721885476.832,0.51,
1721885477.842,0.35,
1721885479.794,0.56,
1721885480.808,0.53,
1721885482.291,0.53,
1721885482.778,0.64,
1721885483.761,0.41,
1721885487.224,0.67,
1721885489.209,0.66,
1721885489.707,0.66,
1721885490.698,0.66,
1721885492.184,0.46,
1721885493.172,0.29,
1721885494.652,0.61,
1721885496.176,0.49,
1721885498.69,0.36,
1721885500.176,0.77,
1721885501.164,0.77,
1721885502.671,0.55,
1721885505.634,0.31,
1721885506.636,0.51,
1721885508.141,0.72,
1721885509.649,0.62,
1721885511.124,0.62,
1721885512.607,0.49,
1721885513.601,0.44,
1721885514.571,0.46,
1721885516.084,0.34,
1721885516.579,0.44,
1721885518.062,0.47,
1721885518.561,0.37,
1721885519.563,0.49,
1721885520.566,0.48,
1721885521.545,0.42,
1721885522.548,0.63,
1721885523.556,0.63,
1721885524.549,0.68,
1721885525.539,0.83,
1721885527.036,0.56,
1721885527.526,0.65,
1721885529.021,0.81,
1721885530.037,0.81,
1721885530.533,0.63,
1721885532.014,0.44,
1721885532.503,0.48,
1721885533.525,0.43,
1721885535.014,0.52,
1721885535.517,0.57,
1721885537.019,0.87,
1721885537.524,0.78,
1721885538.538,1.06,
1721885540.013,0.74,
1721885540.504,0.49,
1721885541.506,0.51,
1721885542.512,0.53,
1721885543.516,0.53,
1721885545.027,0.45,
1721885545.536,0.61,
1721885547.035,0.61,
1721885547.538,0.52,
1721885548.524,0.52,
1721885549.507,0.58,
1721885550.504,0.58,
1721885551.508,0.95,
1721885553.507,0.49,
1721885553.005,0.87,
1721885554.507,0.42,
1721885555.502,0.33,
1721885556.528,0.44,
1721885557.519,0.34,
1721885560.037,1.1400000000000001,
1721885561.028,0.34,
1721885561.525,0.34,
1721885563.006,0.44,
1721885563.502,0.44,
1721885565.011,0.4,
1721885566.009,0.55,
1721885566.499,0.67,
1721885567.5,0.67,
1721885568.489,0.55,
1721885569.49,0.36,
1721885570.483,0.23,
1721885572.503,0.49,
1721885573.49,0.09,
1721885574.495,0.31,
1721885575.492,0.43,
1721885577.481,0.61,
1721885578.501,0.56,
1721885580.0,0.51,
1721885580.499,0.48,
1721885581.479,0.68,
1721885582.502,0.55,
1721885583.465,0.42,
1721885584.455,0.52,
1721885585.461,0.75,
1721885586.464,0.59,
1721885587.454,0.58,
1721885588.451,0.59,
1721885589.928,0.74,
1721885590.407,0.78,
1721885591.418,0.66,
1721885592.436,0.71,
1721885593.444,0.91,
1721885594.437,0.82,
1721885595.96,0.82,
1721885597.457,0.55,
1721885598.465,0.65,
1721885599.477,0.46,
1721885600.464,0.46,
1721885601.46,0.46,
1721885602.97,0.58,
1721885604.446,0.76,
1721885605.945,0.77,
1721885606.438,0.93,
1721885607.465,0.59,
1721885608.459,0.63,
1721885610.466,0.45,
1721885609.453,0.13,
1721885612.499,0.55,
1721885613.498,0.58,
1721885614.962,0.51,
1721885615.46,0.4,
1721885616.455,0.08,
1721885617.447,0.41,
1721885618.445,0.73,
1721885619.442,0.93,
1721885620.426,0.93,
1721885622.416,0.57,
1721885623.899,0.72,
1721885624.397,0.75,
1721885625.386,0.63,
1721885626.893,0.51,
1721885627.888,0.51,
1721885628.38,0.64,
1721885629.871,0.65,
1721885630.865,0.81,
1721885631.372,0.98,
1721885632.865,0.09,
1721885633.87,0.64,
1721885634.879,0.6,
1721885635.364,0.04,
1721885636.355,0.67,
1721885637.868,0.59,
1721885638.361,0.73,
1721885639.84,0.61,
1721885640.358,0.64,
1721885642.868,0.66,
1721885643.363,0.08,
1721885644.373,0.17,
1721885645.86,0.29,
1721885646.367,0.87,
1721885648.867,1.08,
1721885649.379,0.55,
1721885650.383,0.52,
1721885652.393,0.65,
1721885654.39,0.44,
1721885655.402,0.6,
1721885656.399,0.72,
1721885657.407,0.57,
1721885658.411,0.94,
1721885659.899,0.94,
1721885660.881,0.46,
